2005-05-09,0
2005-06-08,11697
2005-07-08,11697
2005-08-08,11732
2005-09-07,11708
2005-10-08,11708
2005-11-07,11708
2005-12-08,11708
2006-01-07,11708
2006-02-06,11708
2006-03-09,11708
2006-04-08,11708
2006-05-09,11708
2006-06-08,11708
2006-07-09,11708
2006-08-08,11708
2006-09-08,11708
2006-10-08,11723
2006-11-07,11723
2006-12-08,11723
2007-01-07,11723
2007-02-07,11723
2007-03-09,11723
2007-04-09,11723
2007-05-09,11723
2007-06-08,11723
2007-07-09,11723
2007-08-08,11723
2007-09-08,11723
2007-10-08,11723
2007-11-08,11723
2007-12-08,15456
2008-01-07,16109
2008-02-07,16265
2008-03-08,16456
2008-04-08,18097
2008-05-08,19829
2008-06-08,20067
2008-07-08,20143
2008-08-08,20148
2008-09-07,22118
2008-10-07,22760
2008-11-07,25848
2008-12-07,28664
2009-01-07,28992
2009-02-06,30637
2009-03-09,32709
2009-04-08,33498
2009-05-09,33541
2009-06-08,34101
2009-07-08,34629
2009-08-08,34629
2009-09-07,34803
2009-10-08,34815
2009-11-07,34871
2009-12-08,35272
2010-01-07,35484
2010-02-06,35513
2010-03-09,35286
2010-04-08,34860
2010-05-09,39437
2010-06-08,42056
2010-07-09,43468
2010-08-08,44459
2010-09-08,45128
2010-10-08,85922
2010-11-07,86064
2010-12-08,91351
2011-01-07,101196
2011-02-07,101960
2011-03-09,102275
2011-04-09,102587
2011-05-09,102616
2011-06-08,103090
2011-07-09,134633
2011-08-08,137240
2011-09-08,145018
2011-10-08,145243
2011-11-08,145465
2011-12-08,151979
2012-01-07,154316
2012-02-07,156443
2012-03-08,156560
2012-04-08,134610
2012-05-08,135495
2012-06-08,137400
2012-07-08,137751
2012-08-08,138120
2012-09-07,138976
2012-10-07,139107
2012-11-07,140703
2012-12-07,141416
2013-01-07,141713
2013-02-06,142563
2013-03-09,142900
2013-04-08,141640
2013-05-09,144704
2013-06-08,146266
2013-07-08,145091
2013-08-08,145394
2013-09-07,145565
2013-10-08,144545
2013-11-07,152435
2013-12-08,152692
2014-01-07,153546
2014-02-06,153906
2014-03-09,153748
2014-04-08,153754
2014-05-09,153899
2014-06-08,154042
2014-07-09,154368
2014-08-08,154548
2014-09-08,156970
2014-10-08,157016
2014-11-07,157240
2014-12-08,157309
2015-01-07,157434
2015-02-07,158954
2015-03-09,159330
2015-04-09,159435
2015-05-09,159603
2015-06-08,159593
2015-07-09,161234
2015-08-08,161479
2015-09-08,161747
2015-10-08,162657
2015-11-08,163443
2015-12-08,163456
2016-01-07,163443
